StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,Q309,Q310,Q311,Q312,Q313,M_Both_Office,M_Both_Know,M_Both_Day,M_Both_Struc,Q48_First Click,Q48_Last Click,Q48_Page Submit,Q48_Click Count,M_Both_A1_1_1,M_Both_A2_1_1,M_Both_A2_2_1,M_Both_A1_2_1,M_Both_Freq,M_One_Office,M_One_Know,M_One_Day,M_One_Struc,Q50_First Click,Q50_Last Click,Q50_Page Submit,Q50_Click Count,M_One_A1_1_1,M_One_A2_1_1,M_One_A2_2_1,M_One_A1_2_1,M_One_Freq,M_Both_Ep_A1_1_1,M_Both_Ep_A2_1_1,M_One_Ep_A1_1_1,M_One_Ep_A2_1_1,M_One_Ep_A1_2_1,M_One_Ep_A2_2_1,M_Both_Ep_A1_2_1,M_Both_Ep_A2_2_1,K_Both_Office,K_Both_Know,K_Both_Day,K_Both_Struc,Q49_First Click,Q49_Last Click,Q49_Page Submit,Q49_Click Count,K_Both_A1_1_1,K_Both_A2_1_1,K_Both_A2_2_1,K_Both_A1_2_1,K_Both_Freq,K_One_Office,K_One_Know,K_One_Day,K_One_Struc,Q51_First Click,Q51_Last Click,Q51_Page Submit,Q51_Click Count,K_One_A1_1_1,K_One_A2_1_1,K_One_A2_2_1,K_One_A1_2_1,K_One_Freq,K_Both_Ep_A1_1_1,K_Both_Ep_A2_1_1,K_One_Ep_A1_1_1,K_One_Ep_A2_1_1,K_One_Ep_A1_2_1,K_One_Ep_A2_2_1,K_Both_Ep_A1_2_1,K_Both_Ep_A2_2_1,Age,Gender,Suggestions,Condition,QuestionOrder
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Causal Judgements in everyday contexts

This study has been approved by the Ethics Chair for the ""UCL Psychology and Language Science"" Research Department. Project ID No: CPB/2014/006 .

 
Participant's Statement","Are you a bot?

 

Liam says to Emma: ""It's a beautiful day, isn't it?""
 

Who is Liam talking to? (case sensitive)","Are you a bot?

 

Mia says to Benjamin: ""It's a beautiful day, isn't it?""
 

Who is Mia talking to? (case sensitive)","Are you a bot?

 

William says to Ava: ""It's a beautiful day, isn't it?""
 

Who is William talking to? (case sensitive)","Are you a bot?

 

Amelia says to Noah: ""It's a beautiful day, isn't it?""
 

Who is Amelia talking to? (case sensitive)","Are you a bot?

 

Evelyn says to James: ""It's a beautiful day, isn't it?""
 

Who is Evelyn talking to? (case sensitive)",Tom and Ben work ...,"Because of their office situation, Tom and Ben ...","Because of their office situation, Tom and Ben ...",The use of how many microwaves does it take to produce a power failure on Friday?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,(1)  Tom    has caused the power failure.,(2) Ben   has caused the power failure.,(1) Ben   has caused the power failure.,(2)  Tom    has caused the power failure.,Who used a microwave frequently (rather than infrequently) this week? (Multiple answers possible),Eddie and Neil work ...,"Because of their office situation, Eddie and Neil ...","Because of their office situation, Eddie and Neil ...",The use of how many microwaves does it take to produce a power failure on Friday?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,(1)  Eddie     has caused the power failure.,(2) Neil    has caused the power failure.,(1) Neil    has caused the power failure.,(2)  Eddie     has caused the power failure.,Who used a microwave frequently (rather than infrequently) this week? (Multiple answers possible).,(1)  Tom    expected  Ben     to use a microwave on Friday. - 1,(2) Ben    expected  Tom     to use a microwave on Friday. - 1,(1)  Eddie      expected  Neil      to use a microwave on Friday. - 1,(2)  Neil    expected  Eddie    to use a microwave on Friday. - 1,(1)  Eddie      expected  Neil      to use a microwave on Friday. - 1,(2)  Neil    expected  Eddie    to use a microwave on Friday. - 1,(1)  Tom    expected  Ben     to use a microwave on Friday. - 1,(2) Ben    expected  Tom     to use a microwave on Friday. - 1,Dan and Bob work ...,"Because of their office situation, Dan and Bob ...","Because of their office situation, Dan and Bob ...",The use of how many kettles does it take to produce a power failure on Friday?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,(1) Dan     has caused the power failure. - 1,(2) Bob    has caused the power failure. - 1,(1) Bob    has caused the power failure. - 1,(2) Dan     has caused the power failure. - 1,Who used a kettle frequently (rather than infrequently) this week? (Multiple answers possible),Henry and James work ...,"Because of their office situation, Henry and James ...","Because of their office situation, Henry and James ...",The use of how many kettles does it take to produce a power failure on Friday?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,(1) Henry    has caused the power failure. - 1,(2) James   has caused the power failure. - 1,(1) James has caused the power failure. - 1,(2) Henry    has caused the power failure. - 1,Who used a kettle frequently (rather than infrequently) this week? (Multiple answers possible),(1) Dan    expected Bob   to use a kettle on Friday. - 1,(2) Bob    expected Dan    to use a kettle on Friday. - 1,(1) Henry   expected James    to use a kettle on Friday. - 1,(2) James   expected Henry    to use a kettle on Friday. - 1,(1) Henry    expected James     to use a kettle on Friday. - 1,(2) James    expected Henry     to use a kettle on Friday. - 1,(1) Dan    expected Bob    to use a kettle on Friday. - 1,(2) Bob    expected Dan    to use a kettle on Friday. - 1,"What is your age? (U.S. Census, 9 Categories)",What is your gender?,"Thank you for your participation.
If you experienced any issues with the survey/the videos
AND/OR
you have any suggestions for improvements or thoughts you would like to share, please comment below.
Then click on the arrow to receive your payment code.",Condition,QuestionOrder
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID84""}","{""ImportId"":""QID309_TEXT""}","{""ImportId"":""QID310_TEXT""}","{""ImportId"":""QID311_TEXT""}","{""ImportId"":""QID312_TEXT""}","{""ImportId"":""QID313_TEXT""}","{""ImportId"":""QID264""}","{""ImportId"":""QID265""}","{""ImportId"":""QID266""}","{""ImportId"":""QID267""}","{""ImportId"":""QID170_FIRST_CLICK""}","{""ImportId"":""QID170_LAST_CLICK""}","{""ImportId"":""QID170_PAGE_SUBMIT""}","{""ImportId"":""QID170_CLICK_COUNT""}","{""ImportId"":""QID270_1""}","{""ImportId"":""QID271_1""}","{""ImportId"":""QID274_1""}","{""ImportId"":""QID273_1""}","{""ImportId"":""QID91""}","{""ImportId"":""QID275""}","{""ImportId"":""QID276""}","{""ImportId"":""QID277""}","{""ImportId"":""QID278""}","{""ImportId"":""QID172_FIRST_CLICK""}","{""ImportId"":""QID172_LAST_CLICK""}","{""ImportId"":""QID172_PAGE_SUBMIT""}","{""ImportId"":""QID172_CLICK_COUNT""}","{""ImportId"":""QID281_1""}","{""ImportId"":""QID282_1""}","{""ImportId"":""QID285_1""}","{""ImportId"":""QID284_1""}","{""ImportId"":""QID205""}","{""ImportId"":""QID236_1""}","{""ImportId"":""QID237_1""}","{""ImportId"":""QID241_1""}","{""ImportId"":""QID240_1""}","{""ImportId"":""QID290_1""}","{""ImportId"":""QID291_1""}","{""ImportId"":""QID287_1""}","{""ImportId"":""QID288_1""}","{""ImportId"":""QID292""}","{""ImportId"":""QID293""}","{""ImportId"":""QID294""}","{""ImportId"":""QID295""}","{""ImportId"":""QID171_FIRST_CLICK""}","{""ImportId"":""QID171_LAST_CLICK""}","{""ImportId"":""QID171_PAGE_SUBMIT""}","{""ImportId"":""QID171_CLICK_COUNT""}","{""ImportId"":""QID222_1""}","{""ImportId"":""QID223_1""}","{""ImportId"":""QID299_1""}","{""ImportId"":""QID298_1""}","{""ImportId"":""QID233""}","{""ImportId"":""QID314""}","{""ImportId"":""QID315""}","{""ImportId"":""QID316""}","{""ImportId"":""QID317""}","{""ImportId"":""QID173_FIRST_CLICK""}","{""ImportId"":""QID173_LAST_CLICK""}","{""ImportId"":""QID173_PAGE_SUBMIT""}","{""ImportId"":""QID173_CLICK_COUNT""}","{""ImportId"":""QID208_1""}","{""ImportId"":""QID209_1""}","{""ImportId"":""QID302_1""}","{""ImportId"":""QID301_1""}","{""ImportId"":""QID127""}","{""ImportId"":""QID249_1""}","{""ImportId"":""QID250_1""}","{""ImportId"":""QID252_1""}","{""ImportId"":""QID253_1""}","{""ImportId"":""QID307_1""}","{""ImportId"":""QID308_1""}","{""ImportId"":""QID304_1""}","{""ImportId"":""QID305_1""}","{""ImportId"":""QID32_TEXT""}","{""ImportId"":""QID33""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""Condition""}","{""ImportId"":""QuestionOrder""}"
2019-12-27 16:39:09,2019-12-27 16:44:52,0,71.8.121.116,100,342,1,2019-12-27 16:44:53,R_3prp4fuiHm5SLJu,,,,,32.581695556640625,-97.13990020751953125,anonymous,EN,"4,5,6,7,8,9",Emma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,0,0,74.19,0,,,1,1,"1,2",2,2,2,2,0,0,69.762,0,,,1,1,1,,,,,4,4,4,4,51,1,,4,2
2019-12-27 16:39:05,2019-12-27 16:45:21,0,173.25.25.86,100,376,1,2019-12-27 16:45:22,R_2TZemE92f5omCSL,,,,,44.081207275390625,-93.5167999267578125,anonymous,EN,"4,5,6,7,8,9",,,,,James,2,2,2,2,0,0,46.542,0,5,5,,,"1,2",2,2,2,2,43.06,43.06,45.326,1,5,5,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,2,,1,1
2019-12-27 16:44:53,2019-12-27 16:45:30,0,122.164.48.146,100,36,1,2019-12-27 16:45:31,R_10vGplrYikPNtkW,,,,,9.9669952392578125,76.29168701171875,anonymous,EN,"4,5,6,7,8,9",,,ava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-27 16:38:29,2019-12-27 16:46:05,0,50.32.117.246,100,456,1,2019-12-27 16:46:05,R_1IABBynPQnKtQBQ,,,,,41.66619873046875,-76.14260101318359375,anonymous,EN,"4,5,6,7,8,9",Emma,,,,,2,2,2,2,0,0,48.625,0,7,7,,,"1,2",2,2,2,2,0,0,43.895,0,7,7,,,1,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,2,It was interesting,2,1
2019-12-27 16:45:40,2019-12-27 16:46:28,0,122.164.93.157,100,48,1,2019-12-27 16:46:29,R_1KxaX6TnT07b8EU,,,,,13.08599853515625,80.27508544921875,anonymous,EN,"4,5,6,7,8,9",,,ava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-27 16:45:45,2019-12-27 16:47:10,8,122.164.93.157,100,84,1,2019-12-27 16:47:10,R_3qgSvTq6X4qu6MQ,,,,,13.08599853515625,80.27508544921875,anonymous,EN,"4,5,6,7,8,9",,,ava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-27 16:47:39,2019-12-27 16:47:57,0,122.164.48.146,100,18,1,2019-12-27 16:47:57,R_3nBGrVK8Fp13UpN,,,,,9.9669952392578125,76.29168701171875,anonymous,EN,"4,5,6,7,8,9",himself,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-27 16:43:55,2019-12-27 16:48:23,0,73.208.246.176,100,268,1,2019-12-27 16:48:24,R_21mFOaIKB6rAoYK,,,,,41.8058929443359375,-89.710601806640625,anonymous,EN,"4,5,6,7,8,9",,,Ava,,,2,2,2,2,0,0,43.126,0,5,5,,,"1,2",2,2,2,2,0,0,43.345,0,5,5,,,1,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,1,,2,1
